question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 166,"Uma bicicleta do tipo mountain bike tem uma coroa com 3 engrenagens e uma catraca com 6 engrenagens, que, combinadas entre si, determinam 18 marchas (número de engrenagens da coroa vezes o número de engrenagens da catraca). Os números de dentes das engrenagens das coroas e das catracas dessa bicicleta estão listados no quadro. Descrição do quadro: O quadro apresenta duas linhas: a primeira referente ao número de dente da coroa e a segunda, ao número de dentes da catraca; e seis colunas, uma para cada engrenagem, em que estão dispostos os seguintes dados: Primeira engrenagem - número de dentes da coroa: 46; número de dentes da catraca: 24Segunda engrenagem - número de dentes da coroa: 36; número de dentes da catraca: 22Terceira engrenagem - número de dentes da coroa: 26; número de dentes da catraca: 20Quarta engrenagem - número de dentes da coroa : - ; número de dentes da catraca: 18Quinta engrenagem - número de dentes da coroa: - ; número de dentes da catraca: 16Sexta engrenagem - número de dentes da coroa: - ; número de dentes da catraca: 14 Sabe-se que o número de voltas efetuadas pela roda traseira a cada pedalada é calculado dividindo-se a quantidade de dentes da coroa pela quantidade de dentes da catraca. Durante um passeio em uma bicicleta desse tipo, deseja-se fazer um percurso o mais devagar possível, escolhendo, para isso, uma das seguintes combinações de engrenagens (coroa x catraca): Descrição do quadro: O quadro é composto de duas linhas, a primeira numerada de um a cinco e a segunda contendo os seguintes dados: I - primeira engrenagem vezes primeira engrenagemII - primeira engrenagem vezes sexta engrenagemIII - segunda engrenagem vezes quarta engrenagemIV - terceira engrenagem vezes primeira engrenagem V - terceira engrenagem vezes sexta engrenagem A combinação escolhida para realizar esse passeio da forma desejada é",I.,II.,III.,IV.,V.,2017,166,MT,D,portuguese
QUESTÃO 167,"O comitê organizador da Copa do Mundo 2014 criou a logomarca da Copa, composta de uma ﬁgura plana e o slogan “Juntos num só ritmo”, com mãos que se unem formando a taça Fifa. Considere que o comitê organizador resolvesse utilizar todas as cores da bandeira nacional (verde, amarelo, azul e branco) para colorir a logomarca, de forma que regiões vizinhas tenham cores diferentes. Descrição da imagem: A taça Fifa formada por três mãos, com os pulsos unidos, partindo da base. As mãos seguram uma superfície esférica sem se interceptarem, formando seis áreas distintas. De quantas maneiras diferentes o comitê organizador da Copa poderia pintar a logomarca com as cores citadas?",15,30,108,360,972,2017,167,MT,E,portuguese
QUESTÃO 168,"Viveiros de lagostas são construídos, por cooperativas locais de pescadores, em formato de prismas reto-retangulares, ﬁxados ao solo e com telas flexíveis de mesma altura, capazes de suportar a corrosão marinha. Para cada viveiro a ser construído, a cooperativa utiliza integralmente 100 metros lineares dessa tela, que é usada apenas nas laterais. Descrição da imagem: Prisma reto-retangular com uma região colorida marcando o nível do mar, abaixo da altura do prisma. A base desse prisma tem comprimento igual a X e largura igual a Y. Quais devem ser os valores de X e de Y , em metro, para que a área da base do viveiro seja máxima?",1 e 49,1 e 99,10 e 10,25 e 25,50 e 50,2017,168,MT,D,portuguese
QUESTÃO 169,"Para uma temporada das corridas de Fórmula 1, a capacidade do tanque de combustível de cada carro passou a ser de 100 quilogramas de gasolina. Uma equipe optou por utilizar uma gasolina com densidade de 750 gramas por litro, iniciando a corrida com o tanque cheio. Na primeira parada de reabastecimento, um carro dessa equipe apresentou um registro em seu computador de bordo acusando o consumo de quatro décimos da gasolina originalmente existente no tanque. Para minimizar o peso desse carro e garantir o término da corrida, a equipe de apoio reabasteceu o carro com a terça parte do que restou no tanque na chegada ao reabastecimento.A quantidade de gasolina utilizada, em litro, no reabastecimento foi","Fração: 20 no numerador e 0,075 no denominador.","Fração: 20 no numerador e 0,75 no denominador.","Fração: 20 no numerador e 7,5 no denominador.","20 vezes 0,075.","20 vezes 0,75.",2017,169,MT,B,portuguese
QUESTÃO 170,"O gráﬁco apresenta a taxa de desemprego (em porcentagem ) para o período de março de 2008 a abril de 2009, obtida com base nos dados observados nas regiões metropolitanas de Recife, Salvador, Belo Horizonte, Rio de Janeiro, São Paulo e Porto Alegre. Descrição do gráfico: Gráﬁco de linha que apresenta a taxa de desemprego, em porcentagem, com os seguintes dados:Mês 03 de 2008: 8,6 por cento.Mês 04 de 2008: 8,5 por cento.Mês 05 de 2008: 7,9 por cento.Mês 06 de 2008: 7,9 por cento.Mês 07 de 2008: 8,1 por cento.Mês 08 de 2008: 7,6 por cento.Mês 09 de 2008: 7,7 por cento.Mês 10 de 2008: 7,5 por cento.Mês 11 de 2008: 7,6 por cento.Mês 12 de 2008: 6,8 por cento.Mês 01 de 2009: 8,2 por cento.Mês 02 de 2009: 8,5 por cento.Mês 03 de 2009: 9,0 por cento.Mês 04 de 2009: 8,9 por cento. A mediana dessa taxa de desemprego, no período de março de 2008 a abril de 2009, foi de","8,1 por cento","8,0 por cento","7,9 por cento","7,7 por cento","7,6 por cento",2017,170,MT,B,portuguese
QUESTÃO 171,"Numa avenida existem 10 semáforos. Por causa de uma pane no sistema, os semáforos ﬁcaram sem controle durante uma hora, e ﬁxaram suas luzes unicamente em verde ou vermelho. Os semáforos funcionam de forma independente; a probabilidade de acusar a cor verde é de dois terços e a de acusar a cor vermelha é de um terço . Uma pessoa percorreu a pé toda esta avenida durante o período de pane, observando a cor da luz de cada um destes semáforos. Qual a probabilidade de que esta pessoa tenha observado exatamente um sinal na cor verde?",Fração: No numerador: 10 vezes 2; No denominador: 3 elevado a 10,Fração: No numerador: 10 vezes 2 elevado a 9; No denominador: 3 elevado a 10,Fração: No numerador: 2 elevado a 10;  No denominador: 3 elevado a 100,Fração: No numerador: 2 elevado a 90;  No denominador: 3 elevado a 100,Fração: No numerador: 2; No denominador:  3 elevado a 10,2017,171,MT,A,portuguese
QUESTÃO 172,"A energia solar vai abastecer parte da demanda de energia do campus de uma universidade brasileira. A instalação de painéis solares na área dos estacionamentos e na cobertura do hospital pediátrico será aproveitada nas instalações universitárias e também ligada na rede da companhia elétrica distribuidora de energia. O projeto inclui 100 metros quadrados de painéis solares que ﬁcarão instalados nos estacionamentos, produzindo energia elétrica e proporcionando sombra para os carros. Sobre o hospital pediátrico serão colocados aproximadamente 300 metros quadrados de painéis, sendo 100 metros quadrados para gerar energia elétrica utilizada no campus , e 200 metros quadrados para geração de energia térmica, produzindo aquecimento de água utilizada nas caldeiras do hospital. Suponha que cada metro quadrado de painel solar para energia elétrica gere uma economia de 1 quilowatt hora por dia e cada metro quadrado produzindo energia térmica permita economizar 0,7 quilowatt hora por dia para a universidade. Em uma segunda fase do projeto, será aumentada em 75 por cento a área coberta pelos painéis solares que geram energia elétrica. Nessa fase também deverá ser ampliada a área de cobertura com painéis para geração de e nergia térmica. Para se obter o dobro da quantidade de energia economizada diariamente, em relação à primeira fase, a área total dos painéis que geram energia térmica, em metro quadrado, deverá ter o valor mais próximo de",231.,431.,472.,523.,672.,2017,172,MT,C,portuguese
QUESTÃO 173,"Dois reservatórios A e B são alimentados por bombas distintas por um período de 20 horas. A quantidade de água contida em cada reservatório nesse período pode ser visualizada na ﬁgura. Descrição da figura: Gráﬁco com o título “Quantidade de água armazenada”. No eixo horizontal encontra-se o tempo, em horas, variando de 0 a 20, em intervalos de 1 em 1 hora. Dois eixos verticais, um à esquerda, representando o reservatório A, varia de 0 a 180 000 com intervalo de 10 000 em 10 000; e um à direita, representando o reservatório B, varia de 0 a 90 000 com intervalo de 10 000 em 10 000.Reservatório A: Formado por cinco segmentos de reta: O primeiro inicia no ponto (0 ; 0) e termina no ponto (4 ; 60 000); o segundo inicia no ponto (4 ; 60 000) e termina no ponto (8 ; 30 000); o terceiro inicia no ponto (8 ; 30 000) e termina no ponto (9 ; 30 000); o quarto inicia no ponto (9 ; 30 000) e termina no ponto (19 ; 180 000) e o quinto inicia no ponto (19 ; 180 000) e termina no ponto (20 ; 180 000).Reservatório B: Formado por cinco segmentos de reta: O primeiro inicia no ponto (0 ; 0) e termina no ponto (4 ; 30 000); o segundo inicia no ponto (4 ; 30 000) e termina no ponto (10 ; 30 000); o terceiro inicia no ponto (10 ; 30 000) e termina no ponto (16 ; 75 000); o quarto inicia no ponto (16 ; 75 000) e termina no ponto (18 ; 75 000) e o quinto inicia no ponto (18 ; 75 000) e termina no ponto (20 ; 90 000). O número de horas em que os dois reservatórios contêm a mesma quantidade de água é",1.,2.,4.,5.,6.,2017,173,MT,A,portuguese
QUESTÃO 174,"Neste modelo de termômetro, os ﬁletes na cor preta registram as temperaturas mínima e máxima do dia anterior e os ﬁletes na cor cinza registram a temperatura ambiente atual, ou seja, no momento da leitura do termômetro. Descrição da imagem: Termômetro com duas colunas no formato de uma régua, com divisões de 10 em 10. Na coluna da esquerda: O ﬁlete na cor preta encontra- se no intervalo de − 30 até − 5 e o ﬁlete na cor cinza encontra-se no intervalo de 7 até 50. Na coluna da direita: O ﬁlete preto encontra-se no intervalo de 19 até 50 e o ﬁlete cinza encontra-se no intervalo de − 30 até 7. Por isso ele tem duas colunas. Na da esquerda, os números estão em ordem crescente, de cima para baixo, de − 30 graus Celsius até 50 graus Celsius . Na coluna da direita, os números estão ordenados de forma crescente, de baixo para cima, de − 30 graus Celsius até 50 graus Celsius . A leitura é feita da seguinte maneira: • a temperatura mínima é indicada pelo nível inferior do ﬁlete preto na coluna da esquerda; • a temperatura máxima é indicada pelo nível inferior do ﬁlete preto na coluna da direita; • a temperatura atual é indicada pelo nível superior dos ﬁletes cinza nas duas colunas. Qual é a temperatura máxima mais aproximada registrada nesse termômetro?",5 graus Celsius,7 graus Celsius,13 graus Celsius,15 graus Celsius,19 graus Celsius,2017,174,MT,E,portuguese
QUESTÃO 175,"Pivô central é um sistema de irrigação muito usado na agricultura, em que uma área circular é projetada para receber uma estrutura suspensa. No centro dessa área, há uma tubulação vertical que transmite água através de um cano horizontal longo, apoiado em torres de sustentação, as quais giram, sobre rodas, em torno do centro do pivô, também chamado de base, conforme mostram as ﬁguras. Cada torre move-se com velocidade constante. Descrição das figuras: A primeira ﬁgura apresenta uma fotograﬁa de um pivô central irrigando uma área de plantação de soja.A segunda ﬁgura apresenta três círculos concêntricos, tendo o centro representado pela base do pivô com a primeira região delimitada pelo círculo com raio traçado por T1, a segunda região delimitada pelo círculo com raio traçado por T2 e a terceira região delimitada pelo círculo com raio traçado por T3. Um pivô de três torres (T 1, T2 e T3) será instalado em uma fazenda, sendo que as distâncias entre torres consecutivas bem como da base à torre T 1 são iguais a 50 metros . O fazendeiro pretende ajustar as velocidades das torres, de tal forma que o pivô efetue uma volta completa em 25 horas. Use 3 como aproximação para pi. Para atingir seu objetivo, as velocidades das torres T1, T2 e T3 devem ser, em metro por hora, de","12 , 24 e 36.","6 , 12 e 18.","2 , 4 e 6.","300 , 1 200 e 2 700.","600 , 2 400 e 5 400.",2017,175,MT,A,portuguese
QUESTÃO 176,"A Igreja de São Francisco de Assis, obra arquitetônica modernista de Oscar Niemeyer, localizada na Lagoa da Pampulha, em Belo Horizonte, possui abóbadas parabólicas. A seta na Figura 1 ilustra uma das abóbadas na entrada principal da capela. A Figura 2 fornece uma vista frontal desta abóbada, com medidas hipotéticas para simpliﬁcar os cálculos. Descrição da figura 1: A ﬁgura 1 apresenta uma imagem ilustrativa, em perspectiva, das abóbadas da igreja, destacando uma delas, indicada por uma seta. Descrição da figura 2: Desenho representando, no plano, a vista frontal de uma abóbada parabólica. O desenho mostra uma parábola com concavidade para baixo, apoiada em um segmento de reta horizontal que representa a linha do solo. Uma linha vertical, indo do vértice da parábola até a linha do solo, divide-a em duas metades; a distância entre esta linha vertical e o ponto em que a parábola toca a linha do solo é de 5 metros e a altura da abóbada é de H metros.No interior da parábola está inscrito um retângulo, centralizado na parábola, com seu lado maior apoiado sobre a linha do solo e com seu lado menor indo do solo até a linha da parábola. O lado menor do retângulo mede 3 metros e a distância desse lado até a linha vertical central é de 4 metros. Qual a medida da altura H, em metro, indicada na Figura 2?",Fração: no numerador 16 e no denominador 3,Fração: no numerador 31 e no denominador 5,Fração: no numerador 25 e no denominador 4,Fração: no numerador 25 e no denominador 3,Fração: no numerador 75 e no denominador 2,2017,176,MT,D,portuguese
QUESTÃO 177,"Quanto tempo você ﬁca conectado à internet? Para responder a essa pergunta foi criado um miniaplicativo de computador que roda na área de trabalho, para gerar automaticamente um gráﬁco de setores, mapeando o tempo que uma pessoa acessa cinco sites visitados. Em um computador, foi observado que houve um aumento signiﬁcativo do tempo de acesso da sexta-feira para o sábado, nos cinco sites mais acessados. A seguir, temos os dados do miniaplicativo para esses dias. Descrição dos gráficos de setores: Tempo de acesso da sexta-feira (minutos): Site X: 12. Site Y: 30. Site Z: 10. Site W: 38. Site U: 40.Tempo de acesso do sábado (minutos): Site X: 21. Site Y: 51. Site Z: 11. Site W: 57. Site U: 56. Analisando os gráﬁcos do computador, a maior taxa de aumento no tempo de acesso, da sexta-feira para o sábado, foi no site",X.,Y.,Z.,W.,U.,2017,177,MT,A,portuguese
QUESTÃO 178,"O resultado de uma pesquisa eleitoral, sobre a preferência dos eleitores em relação a dois candidatos, foi representado por meio do gráﬁco 1 de colunas . Descrição do gráfico 1: Um gráﬁco de duas colunas apresenta, no eixo das abscissas, os candidatos identiﬁcados por A e B; e no eixo das ordenadas, a quantidade de eleitores, em porcentagem, variando de zero a setenta por cento, em intervalos de dez por cento. A coluna que representa o candidato A inicia em zero e vai até setenta por cento; a coluna do candidato B inicia em zero e vai até trinta por cento. Ao ser divulgado esse resultado em jornal, o Gráﬁco 1 foi cortado durante a diagramação, como mostra o Gráﬁco 2. Descrição do gráfico 2: Um gráﬁco de duas colunas apresenta, no eixo das abscissas, os candidatos identiﬁcados por A e B; e no eixo das ordenadas, a quantidade de eleitores, em porcentagem, variando de vinte a setenta por cento, em intervalos de dez por cento. A coluna que representa o candidato A inicia em vinte por cento e vai até setenta por cento; a coluna do candidato B inicia em vinte por cento e vai até trinta por cento. Apesar de os valores apresentados estarem corretos e a largura das colunas ser a mesma, muitos leitores criticaram o formato do Gráﬁco 2 impresso no jornal, alegando que houve prejuízo visual para o candidato B.A diferença entre as razões da altura da coluna B pela coluna A nos gráﬁcos 1 e 2 é",Zero,Fração: no numerador 1 e no denominador 2,Fração: no numerador 1 e no denominador 5,Fração: no numerador 2 e no denominador 15,Fração: no numerador 8 e no denominador 35,2017,178,MT,E,portuguese
QUESTÃO 179,"Um cientista, em seus estudos para modelar a pressão arterial de uma pessoa, utiliza uma função do tipo p de t é igual A mais B vezes cosseno abre parêntese k vezes t fecha parêntese em que A, B e K são constantes reais positivas e t representa a variável tempo, medida em segundo. Considere que um batimento cardíaco representa o intervalo de tempo entre duas sucessivas pressões máximas. Ao analisar um caso e specíﬁco, o cientista obteve os dados: Pressão mínima 78 Pressão máxima 120 Número de batimentos cardíacos por minuto 90 A função P de t obtida, por este cientista, ao analisar o caso especíﬁco foi",P de t é igual a 99 mais 21 vezes cosseno abre parêntese 3 vezes pi vezes t fecha parêntese.,P de t é igual a 78 mais 42 vezes cosseno abre parêntese 3 vezes pi vezes t fecha parêntese.,P de t é igual a 99 mais 21 vezes cosseno abre parêntese 2 vezes pi vezes t fecha parêntese.,P de t é igual a 99 mais 21 vezes cosseno abre parêntese t fecha parêntese.,P de t é igual a 78 mais 42 vezes cosseno abre parêntese t fecha parêntese.,2017,179,MT,A,portuguese
QUESTÃO 180,"Para decorar uma mesa de festa infantil, um chefe de cozinha usará um melão esférico com diâmetro medindo 10 centímetros , o qual servirá de suporte para espetar diversos doces. Ele irá retirar uma calota esférica do melão, conforme ilustra a ﬁgura, e, para garantir a estabilidade deste suporte, diﬁcultando que o melão role sobre a mesa, o chefe fará o corte de modo que o raio r da seção circular de corte seja de pelo menos 3 centímetros . Por outro lado, o chefe desejará dispor da maior área possível da região em que serão aﬁxados os doces. Descrição da figura: A ﬁgura é composta por uma circunferência com centro O, que representa o melão, e um círculo hachurado, que representa a parte apoiada na mesa (sessão circular). Nele há um triângulo retângulo OAB, sendo O o centro da circunferência, A, o centro do círculo hachurado, e B um ponto na circunferência. O cateto AB do triângulo retângulo OAB tem medida igual a r, raio do círculo hachurado e a hipotenusa OB é o raio da circunferência.  A altura (h) da calota do melão a ser cortada é a diferença do raio da circunferência pelo cateto AO do triângulo retângulo OAB. Para atingir todos os seus objetivos, o chefe deverá cortar a calota do melão numa altura h , em centímetro, igual a",5 menos fração com numerador raiz quadrada de 91 sobre denominador 2,10 menos raiz quadrada de 91,1,4,5,2017,180,MT,C,portuguese
